,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,소재지주소
4853,B000006829,고금초등학교,초등학교,1919-10-12,공립,본교,운영,전라남도 완도군 고금면 덕암리  644,,8490000,전라남도교육청,8701000,전라남도완도교육지원청,2013-11-29,,34.3969843,126.8002501,2017-09-05,전라남도 완도군 고금면
4854,B000006830,약산초등학교,초등학교,1920-09-15,공립,본교,운영,전라남도 완도군 약산면 장용리  931,전라남도 완도군 약산면 약산로  351-1,8490000,전라남도교육청,8701000,전라남도완도교육지원청,2013-11-29,,34.393792499999996,126.8970719,2017-09-05,전라남도 완도군 약산면
4855,B000006831,금일초등학교,초등학교,1924-04-01,공립,본교,운영,전라남도 완도군 금일읍 신구리  680,,8490000,전라남도교육청,8701000,전라남도완도교육지원청,2013-11-29,,34.3550435,127.03349890000001,2017-09-05,전라남도 완도군 금일읍
4856,B000006832,금일동초등학교,초등학교,1946-11-04,공립,본교,운영,전라남도 완도군 금일읍 월송리  250,전라남도 완도군 금일읍 금일로725번길  18-13,8490000,전라남도교육청,8701000,전라남도완도교육지원청,2013-11-29,,34.3400042,127.05535220000002,2017-09-05,전라남도 완도군 금일읍
4857,B000006833,금당초등학교,초등학교,1928-10-02,공립,본교,운영,전라남도 완도군 금당면 육산리  260,전라남도 완도군 금당면 금당로  220-23,8490000,전라남도교육청,8701000,전라남도완도교육지원청,2013-11-29,,34.44058629999999,127.0614175,2017-09-05,전라남도 완도군 금당면
4858,B000006995,천포초등학교,초등학교,1964-03-01,공립,본교,운영,경상북도 경주시 건천읍 천포리  689,,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.845319599999996,129.0948262,2017-09-05,경상북도 경주시 건천읍
4859,B000006996,모량초등학교,초등학교,1943-06-23,공립,본교,운영,경상북도 경주시 건천읍 모량리  612-14,경상북도 경주시 건천읍 내서로  1504,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.8235404,129.13114,2017-09-05,경상북도 경주시 건천읍
4860,B000006861,압해동초등학교,초등학교,1939-05-30,공립,본교,운영,전라남도 신안군 압해읍 신장리  518-1,전라남도 신안군 압해읍 압해로  378-6,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.8410734,126.3547783,2017-09-05,전라남도 신안군 압해읍
4861,B000006862,증도초등학교,초등학교,1940-06-14,공립,본교,운영,전라남도 신안군 증도면 증동리  1812-2,전라남도 신안군 증도면 문준경길  218,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,35.0019477,126.1364443,2017-09-05,전라남도 신안군 증도면
4862,B000006863,임자초등학교,초등학교,1924-10-10,공립,본교,운영,전라남도 신안군 임자면 대기리  348,전라남도 신안군 임자면 임자로  216-4,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,35.0900214,126.10149320000001,2017-09-05,전라남도 신안군 임자면
4863,B000006864,임자남초등학교,초등학교,1957-04-01,공립,본교,운영,전라남도 신안군 임자면 대기리  2819,,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,35.0839025,126.0771456,2017-09-05,전라남도 신안군 임자면
4864,B000006865,안좌초등학교,초등학교,1921-10-08,공립,본교,운영,전라남도 신안군 안좌면 읍동리  1014,,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.75497,126.12425,2017-09-05,전라남도 신안군 안좌면
4865,B000006866,팔금초등학교,초등학교,1937-06-24,공립,본교,운영,전라남도 신안군 팔금면 읍리  699,전라남도 신안군 팔금면 삼층석탑길  173,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.7859139,126.14432930000001,2017-09-05,전라남도 신안군 팔금면
